#(This file contains Japanese character set JISX0208.)

# 
# Optional Japanese Kanji Font (JISX0208) List
#    The following is a list of Japanese Kanji font files in TrueType format 
#

#      L     M     B     E     H
#  W:  3  4  5  6  7  8  9 10 11 12 
#      m  o  p     s     v     x  z


# FONT-NAME                             FILE-NAME	TeX-FONT-NAME

### 富士通 FontCity 2
DFPクラフト遊W5				dfcry5.ttc	dfcfypaa
DFPクラフト遊W7				dfcry7.ttc	dfcfysaa
DFPクラフト墨W9				dfcrs9.ttc	dfcfsvaa
DFPフリー流線				dffrs2.ttc	dffrskaa
DFPフリー流葉				dffry2.ttc	dffrykaa
DFP流隷体W5				dfrule5.ttc	dfrulpaa
DFP流隷体W7				dfrule7.ttc	dfrulsaa
DFP流隷体AW5				dfrula5.ttc	dfruapaa
DFP流隷体AW9				dfrula9.ttc	dfruasaa
DFPまるもじ体W3				dfmrm3.ttc	dfmrmmaa
DFPまるもじ体				dfmrm5.ttc	dfmrmpaa
DFPまるもじ体W7				dfmrm7.ttc	dfmrmsaa
DFPまるもじ体W9				dfmrm9.ttc	dfmrmvaa
DFPブラッシュSQW5			dfbrs5.ttc	dfbrspaa
DFPブラッシュSQW9			dfbrs9.ttc	dfbrsvaa
DFPブラッシュSQW12			dfbrsc.ttc	dfbrszaa
DFPブラッシュRDW7			dfbrr7.ttc	dfbrrsaa
DFPブラッシュRDW12			dfbrrc.ttc	dfbrrzaa
DFPPOPコンW7				dfpoco7.ttc	dfpocsaa
DFPPOPコンW12				dfpococ.ttc	dfpoczaa
DFPPOP1体W3				dfpop3.ttc	dfpopmaa
DFPPOP1体W5				dfpop5.ttc	dfpoppaa
DFPPOP1体				dfpop7.ttc	dfpopraa
DFPPOP1体W9				dfpop9.ttc	dfpopvaa
DFPPOP1体W12				dfpop1-c.ttc	dfpopzaa
DFPPOP2体W9				dfpop2-9.ttc	dfpoqvaa
DFPPOP2体W12				dfpop2-c.ttc	dfpoqzaa
DFPPOPステンシルW7			dfpost7.ttc	dfposraa
DFPPOPクリップW7			dfpocl7.ttc	dfpocraa
DFP麗雅宋				dflgs9.ttc	dflgsvaa
DFP風雲体W7				dffuu7.ttc	dffuusaa
DFP風雲体W12				dffuuc.ttc	dffuuzaa
DFP綜藝体W5				dfsoge5.ttc	dfsogpaa
DFP綜藝体W7				dfsoge7.ttc	dfsogsaa
DFP綜藝体W9				dfsoge9.ttc	dfsogvaa
DFP平成明朝体W3				dfhsm3.ttc	dfhsmmaa	
DFP平成明朝体W5				dfhsm5.ttc	dfhsmpaa
DFP平成明朝体W7				dfhsm7.ttc	dfhsmsaa
DFP平成明朝体W9				dfhsm9.ttc	dfhsmvaa
DFP平成ゴシック体W3			dfhsg3.ttc	dfhsgmaa
DFP平成ゴシック体W5			dfhsg5.ttc	dfhsgpaa
DFP平成ゴシック体W7			dfhsg7.ttc	dfhsgsaa
DFP平成ゴシック体W9			dfhsg9.ttc	dfhsgvaa
DFP平成丸ゴシック体W4			dfhsr4.ttc	dfhrgoaa
DFP華康明朝体W3				dfmimp3.ttc	dfmipmaa
DFP華康明朝体W5				dfmimp5.ttc	dfmippaa
DFP華康ゴシック体W2			dfgotp2.ttc	dfgopkaa
DFP華康ゴシック体W3			dfgotp3.ttc	dfgopmaa
DFP華康ゴシック体W5			dfgotp5.ttc	dfgoppaa


### DynaFont プレミアム 30 書体パック
#DF平成明朝体W3				dfhsmw3.ttc	dfhsmmaa
#DF平成明朝体W5				dfhsmw5.ttc	dfhsmpaa
#DF平成明朝体W7				dfhsmw7.ttc	dfhsmsaa
#DF平成明朝体W9				dfhsmw9.ttc	dfhsmvaa
#DF極太明朝体				dfminub.ttc	dfminzaa
#DF平成ゴシック体W3			dfhsgw3.ttc	dfhsgmaa
#DF平成ゴシック体W5			dfhsgw5.ttc	dfhsgpaa
#DF平成ゴシック体W7			dfhsgw7.ttc	dfhsgsaa
#DF平成ゴシック体W9			dfhsgw9.ttc	dfhsgvaa
#DF特太ゴシック体			dfgoteb.ttc	dfgotxaa
#DF極太ゴシック体			dfgotub.ttc	dfgotzaa
#DF平成丸ゴシック体W4			dfhsrw4.ttc	dfhrgoaa
#DF細丸ゴシック体			dfmrglt.ttc	dfmrgmaa
#DF中丸ゴシック体			dfmrgmd.ttc	dfmrgpaa
#DF中太丸ゴシック体			dfmrgbd.ttc	dfmrgsaa
DF行書体				dfgyomd.ttc	dfgyopaa
#DF細楷書体				dfkailt.ttc	dfkaimaa
#DF中楷書体				dfkaimd.ttc	dfkaipaa
#DF中太楷書体				dfkaisb.ttc	dfkaisaa
#DF太楷書体				dfkaibd.ttc	dfkaivaa
DF隷書体				dfleimd.ttc	dfleipaa
DF勘亭流				dfktrxb.ttc	dfktrxaa
#DFPOP1体W3				dfpopw3.ttc	dfpopmaa
#DFPOP1体W5				dfpopw5.ttc	dfpoppaa
#DFPOP1体				dfpop1.ttc	dfpopraa
